dataset_id,variant,split,sample_index,crop_name,num_predicted_masks,evaluation_view,miou,ari,miou_agg,texture_a_best_iou,texture_b_best_iou,texture_a_agg_iou,texture_b_agg_iou,texture_a_overlap_mask_count,texture_b_overlap_mask_count,mask_score_mean,mask_score_median,feature_cluster_coarse_to_fine_global_pooled_init_flip_avg_coarse_only_status,label_permutation_invariant,assignment_used,assignment_source_for_texture_a,assignment_source_for_texture_b,assignment_direct_miou,assignment_direct_ari,assignment_swapped_miou,assignment_swapped_ari,evaluation_selector,num_feature_levels,coarsest_level_name,finest_level_name,feature_level_names,feature_level_resolutions,cluster_pixel_count_a,cluster_pixel_count_b,rough_mask_positive_pixels_a,rough_mask_positive_pixels_b,refined_mask_positive_pixels_a,refined_mask_positive_pixels_b,refined_score_a,refined_score_b,refined_pair_selection_score,refined_pair_overlap_iou,output_stage,coarsest_init_mode,multiscale_refinement_applied,sam_refinement_applied,evaluation_contract,eval_miou,eval_ari,coarsest_pool_kernel_size,coarsest_pool_stride,pooled_grid_resolution,active_coarsest_component_stats_json
cstd,feature_cluster_coarse_to_fine_global_pooled_init_flip_avg_coarse_only,benchmark,0,000000,2,partition_invariant,0.9678746021206663,0.9405608534632989,0.5,0.9587231179970148,0.977026086244318,0.3540382385253906,0.6459617614746094,2,2,0.0,0.0,ok,True,"cluster_a->texture_a,cluster_b->texture_b",cluster_a,cluster_b,0.9678746021206663,0.9405608534632989,0.0075447253797125855,0.9405608534632989,best_partition_assignment,1,fpn_2,fpn_2,fpn_2,72x72,93540,168604,93540,168604,93540,168604,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_flip_avg_coarse_only,False,False,architexture_binary_v1,0.9678746021206663,0.9405608534632989,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""1845"": 1}, ""largest_component_size"": 1845, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 1845, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""3339"": 1}, ""largest_component_size"": 3339, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 3339, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
cstd,feature_cluster_coarse_to_fine_global_pooled_init_flip_avg_coarse_only,benchmark,1,000001,2,partition_invariant,0.8279219512263554,0.6783943132841656,0.5,0.7848872011672715,0.8709567012854393,0.3230781555175781,0.6769218444824219,2,2,0.0,0.0,ok,True,"cluster_b->texture_a,cluster_a->texture_b",cluster_b,cluster_a,0.04413005443221307,0.6783943132841656,0.8279219512263554,0.6783943132841656,best_partition_assignment,1,fpn_2,fpn_2,fpn_2,72x72,156004,106140,156004,106140,156004,106140,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_flip_avg_coarse_only,False,False,architexture_binary_v1,0.8279219512263554,0.6783943132841656,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""3087"": 1}, ""largest_component_size"": 3087, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 3087, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""1764"": 1, ""324"": 1, ""9"": 1}, ""largest_component_size"": 1764, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 3, ""smallest_component_size"": 9, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
cstd,feature_cluster_coarse_to_fine_global_pooled_init_flip_avg_coarse_only,benchmark,2,000002,2,partition_invariant,0.34380584366000233,-0.028277253306751383,0.5,0.08009320474530508,0.6075184825746995,0.2891044616699219,0.7108955383300781,2,2,0.0,0.0,ok,True,"cluster_a->texture_a,cluster_b->texture_b",cluster_a,cluster_b,0.34380584366000233,-0.028277253306751383,0.22903375754003122,-0.028277253306751383,best_partition_assignment,1,fpn_2,fpn_2,fpn_2,72x72,41024,221120,41024,221120,41024,221120,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_flip_avg_coarse_only,False,False,architexture_binary_v1,0.34380584366000233,-0.028277253306751383,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""27"": 1, ""783"": 1}, ""largest_component_size"": 783, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 2, ""smallest_component_size"": 27, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""4374"": 1}, ""largest_component_size"": 4374, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 4374, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
cstd,feature_cluster_coarse_to_fine_global_pooled_init_flip_avg_coarse_only,benchmark,3,000003,2,partition_invariant,0.935006164633585,0.8928162314778209,0.5,0.9046256090920515,0.9653867201751186,0.2552490234375,0.7447509765625,2,2,0.0,0.0,ok,True,"cluster_a->texture_a,cluster_b->texture_b",cluster_a,cluster_b,0.935006164633585,0.8928162314778209,0.013176355413329729,0.8928162314778209,best_partition_assignment,1,fpn_2,fpn_2,fpn_2,72x72,69503,192641,69503,192641,69503,192641,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_flip_avg_coarse_only,False,False,architexture_binary_v1,0.935006164633585,0.8928162314778209,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""1377"": 1}, ""largest_component_size"": 1377, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 1377, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""3807"": 1}, ""largest_component_size"": 3807, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 3807, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
cstd,feature_cluster_coarse_to_fine_global_pooled_init_flip_avg_coarse_only,benchmark,4,000004,2,partition_invariant,0.314284417458796,-0.004278282496701733,0.5,0.4518831484434288,0.17668568647416316,0.4511451721191406,0.5488548278808594,2,2,0.0,0.0,ok,True,"cluster_b->texture_a,cluster_a->texture_b",cluster_b,cluster_a,0.2747750378995542,-0.004278282496701733,0.314284417458796,-0.004278282496701733,best_partition_assignment,1,fpn_2,fpn_2,fpn_2,72x72,39864,222280,39864,222280,39864,222280,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_flip_avg_coarse_only,False,False,architexture_binary_v1,0.314284417458796,-0.004278282496701733,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""27"": 1, ""765"": 1}, ""largest_component_size"": 765, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 2, ""smallest_component_size"": 27, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""2097"": 1, ""2295"": 1}, ""largest_component_size"": 2295, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 2, ""smallest_component_size"": 2097, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
cstd,feature_cluster_coarse_to_fine_global_pooled_init_flip_avg_coarse_only,benchmark,5,000005,2,partition_invariant,0.9717269265033873,0.9472934437946712,0.5,0.9640893382163306,0.9793645147904441,0.3624267578125,0.6375732421875,2,2,0.0,0.0,ok,True,"cluster_a->texture_a,cluster_b->texture_b",cluster_a,cluster_b,0.9717269265033873,0.9472934437946712,0.006683348426981532,0.9472934437946712,best_partition_assignment,1,fpn_2,fpn_2,fpn_2,72x72,95381,166763,95381,166763,95381,166763,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_flip_avg_coarse_only,False,False,architexture_binary_v1,0.9717269265033873,0.9472934437946712,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""1890"": 1}, ""largest_component_size"": 1890, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 1890, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""3294"": 1}, ""largest_component_size"": 3294, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 3294, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
cstd,feature_cluster_coarse_to_fine_global_pooled_init_flip_avg_coarse_only,benchmark,6,000006,2,partition_invariant,0.9017317261946651,0.8462011255448344,0.5,0.8484082381926217,0.9550552141967086,0.20822525024414062,0.7917747497558594,2,2,0.0,0.0,ok,True,"cluster_b->texture_a,cluster_a->texture_b",cluster_b,cluster_a,0.01816718918968891,0.8462011255448344,0.9017317261946651,0.8462011255448344,best_partition_assignment,1,fpn_2,fpn_2,fpn_2,72x72,201941,60203,201941,60203,201941,60203,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_flip_avg_coarse_only,False,False,architexture_binary_v1,0.9017317261946651,0.8462011255448344,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""3996"": 1}, ""largest_component_size"": 3996, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 3996, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""1188"": 1}, ""largest_component_size"": 1188, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 1188, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
cstd,feature_cluster_coarse_to_fine_global_pooled_init_flip_avg_coarse_only,benchmark,7,000007,2,partition_invariant,0.8871815505601692,0.8409664169927722,0.5,0.8097909350177953,0.9645721661025431,0.13600921630859375,0.8639907836914062,2,2,0.0,0.0,ok,True,"cluster_a->texture_a,cluster_b->texture_b",cluster_a,cluster_b,0.8871815505601692,0.8409664169927722,0.01552214895229382,0.8409664169927722,best_partition_assignment,1,fpn_2,fpn_2,fpn_2,72x72,41130,221014,41130,221014,41130,221014,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_flip_avg_coarse_only,False,False,architexture_binary_v1,0.8871815505601692,0.8409664169927722,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""801"": 1, ""9"": 1}, ""largest_component_size"": 801, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 2, ""smallest_component_size"": 9, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""4374"": 1}, ""largest_component_size"": 4374, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 4374, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
cstd,feature_cluster_coarse_to_fine_global_pooled_init_flip_avg_coarse_only,benchmark,8,000008,2,partition_invariant,0.9355582062144072,0.8767910324315795,0.5,0.9218456451491696,0.9492707672796449,0.39593505859375,0.60406494140625,2,2,0.0,0.0,ok,True,"cluster_a->texture_a,cluster_b->texture_b",cluster_a,cluster_b,0.9355582062144072,0.8767910324315795,0.016091945932013456,0.8767910324315795,best_partition_assignment,1,fpn_2,fpn_2,fpn_2,72x72,100800,161344,100800,161344,100800,161344,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_flip_avg_coarse_only,False,False,architexture_binary_v1,0.9355582062144072,0.8767910324315795,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""1998"": 1}, ""largest_component_size"": 1998, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 1998, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""3186"": 1}, ""largest_component_size"": 3186, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 3186, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
cstd,feature_cluster_coarse_to_fine_global_pooled_init_flip_avg_coarse_only,benchmark,9,000009,2,partition_invariant,0.9081388859933786,0.8453530126397327,0.5,0.8677051482264012,0.9485726237603559,0.2645301818847656,0.7354698181152344,2,2,0.0,0.0,ok,True,"cluster_a->texture_a,cluster_b->texture_b",cluster_a,cluster_b,0.9081388859933786,0.8453530126397327,0.019556057425003787,0.8453530126397327,best_partition_assignment,1,fpn_2,fpn_2,fpn_2,72x72,72976,189168,72976,189168,72976,189168,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_flip_avg_coarse_only,False,False,architexture_binary_v1,0.9081388859933786,0.8453530126397327,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""1404"": 1, ""27"": 1, ""9"": 1}, ""largest_component_size"": 1404, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 3, ""smallest_component_size"": 9, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""27"": 1, ""3708"": 1, ""9"": 1}, ""largest_component_size"": 3708, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 3, ""smallest_component_size"": 9, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
