dataset_id,variant,split,sample_index,crop_name,evaluation_contract,evaluation_view,eval_miou,eval_ari,eval_nmi,k_gt,k_gt_raw,k_pred,count_accuracy,coverage,valid_pixel_count,total_pixel_count,invalid_pixel_count,num_predicted_regions,num_target_regions,label_permutation_invariant,evaluation_selector,matched_ious_json,matched_pairs_json,coarsest_level_name,feature_level_names,feature_level_resolutions,num_feature_levels,coarsest_pool_kernel_size,coarsest_pool_stride,pooled_grid_resolution,coarsest_init_mode,flip_averaged_features_used,sam_refinement_applied,multiscale_refinement_applied,predicted_k_selection_criterion,predicted_k_criterion_value,predicted_k_scores_by_k_json,cluster_pixel_counts_json,gt_decode_method,joker_label_value,joker_region_count,joker_pixel_count,joker_pixel_fraction,gt_decode_raw_oracle_num_regions,gt_decode_effective_oracle_num_regions,gt_decode_num_unique_rgb_colors,gt_decode_scores_by_k_json,gt_decode_raw_region_sizes_json,gt_decode_effective_region_sizes_json,gt_decode_joker_region_labels_json,gt_decode_joker_region_sizes_json,gt_decode_selection_criterion,gt_decode_selection_value,feature_cluster_coarse_global_pooled_predicted_k_status
detexture_ade20k_multi,feature_cluster_coarse_global_pooled_predicted_k,training,0,training_ADE_train_00000191,detexture_multi_partition_v1,multi_partition_invariant,0.5341981000912163,0.7382787001544967,0.7263657846615308,3,8,2,0.0,0.981719970703125,64338,65536,1198,2,3,True,hungarian_iou_assignment,"[0.9686768834815161, 0.6339174167921325, 0.0]","[{""pred_label"": 0, ""gt_label"": 0, ""iou"": 0.9686768834815161}, {""pred_label"": 1, ""gt_label"": 1, ""iou"": 0.6339174167921325}, {""pred_label"": -1, ""gt_label"": 2, ""iou"": 0.0}]",fpn_2,fpn_2,72x72,1,3,3,24x24,pooled_avg_pool_multi_way,False,False,False,silhouette,0.35595792531967163,"{""2"": 0.35595792531967163, ""3"": 0.32110336422920227, ""4"": 0.277271568775177, ""5"": 0.2728653848171234, ""6"": 0.29520776867866516, ""7"": 0.2963550388813019, ""8"": 0.28802865743637085}","[33508, 32028]",jpeg_color_clustering_bic,-1,5,1198,0.018280029296875,8,3,1971,"{""1"": -137587.71273951491, ""2"": -138424.70487533914, ""3"": -183871.62287045203, ""4"": -459171.9824685764, ""5"": -484299.3960277051, ""6"": -531631.2731154775, ""7"": -553303.6755476466, ""8"": -562398.7883995386}","[34017, 19964, 10357, 369, 284, 255, 164, 126]","[34017, 19964, 10357]","[3, 4, 5, 6, 7]","[369, 284, 255, 164, 126]",bic,-562398.7883995386,ok
detexture_ade20k_multi,feature_cluster_coarse_global_pooled_predicted_k,training,1,training_ADE_train_00000569,detexture_multi_partition_v1,multi_partition_invariant,0.6220191210022633,0.3651779899553173,0.5229184813844349,3,8,3,1.0,0.9912724194729137,346644,349696,3052,3,3,True,hungarian_iou_assignment,"[0.3762771096721143, 0.5968612584648917, 0.892918994869784]","[{""pred_label"": 0, ""gt_label"": 2, ""iou"": 0.3762771096721143}, {""pred_label"": 1, ""gt_label"": 0, ""iou"": 0.5968612584648917}, {""pred_label"": 2, ""gt_label"": 1, ""iou"": 0.892918994869784}]",fpn_2,fpn_2,72x72,1,3,3,24x24,pooled_avg_pool_multi_way,False,False,False,silhouette,0.30820131301879883,"{""2"": 0.2522393465042114, ""3"": 0.30820131301879883, ""4"": 0.2823406457901001, ""5"": 0.25470584630966187, ""6"": 0.2745964825153351, ""7"": 0.27341392636299133, ""8"": 0.26425158977508545}","[147132, 141930, 60634]",jpeg_color_clustering_bic,-1,5,3052,0.008727580527086384,8,3,6344,"{""1"": -743235.9889385029, ""2"": -1336164.4383070772, ""3"": -1370924.2237310174, ""4"": -2529100.2250885423, ""5"": -2623285.541838763, ""6"": -2796027.278742065, ""7"": -2882234.5848349417, ""8"": -2895929.0138878142}","[234953, 55984, 55707, 802, 748, 734, 670, 98]","[234953, 55984, 55707]","[3, 4, 5, 6, 7]","[802, 748, 734, 670, 98]",bic,-2895929.0138878142,ok
detexture_ade20k_multi,feature_cluster_coarse_global_pooled_predicted_k,training,2,training_ADE_train_00000583,detexture_multi_partition_v1,multi_partition_invariant,0.9436510624257936,0.891094251188027,0.826914654729895,2,8,2,1.0,0.8062288387628112,281935,349696,67761,2,2,True,hungarian_iou_assignment,"[0.9332430487959711, 0.954059076055616]","[{""pred_label"": 0, ""gt_label"": 1, ""iou"": 0.9332430487959711}, {""pred_label"": 1, ""gt_label"": 0, ""iou"": 0.954059076055616}]",fpn_2,fpn_2,72x72,1,3,3,24x24,pooled_avg_pool_multi_way,False,False,False,silhouette,0.3735020160675049,"{""2"": 0.3735020160675049, ""3"": 0.34744736552238464, ""4"": 0.3139224648475647, ""5"": 0.2796735465526581, ""6"": 0.2632943391799927, ""7"": 0.2406345009803772, ""8"": 0.2412693202495575}","[181819, 167877]",jpeg_color_clustering_bic,-1,6,67761,0.19377116123718888,8,2,16245,"{""1"": -920488.2055231904, ""2"": -935181.0441050469, ""3"": -1271661.91979474, ""4"": -1469239.5243911555, ""5"": -2274094.3298840895, ""6"": -2322823.469528725, ""7"": -2364386.7048412887, ""8"": -2529346.3447980233}","[170924, 111011, 39161, 19759, 4381, 1960, 1869, 631]","[170924, 111011]","[2, 3, 4, 5, 6, 7]","[39161, 19759, 4381, 1960, 1869, 631]",bic,-2529346.3447980233,ok
detexture_ade20k_multi,feature_cluster_coarse_global_pooled_predicted_k,training,3,training_ADE_train_00000932,detexture_multi_partition_v1,multi_partition_invariant,0.35463984428909523,0.5240150578988116,0.6713760979308802,3,8,6,0.0,0.8695466919838946,304077,349696,45619,6,3,True,hungarian_iou_assignment,"[0.8350144754377097, 0.9533371246919521, 0.3394874656049098, 0.0, 0.0, 0.0]","[{""pred_label"": 0, ""gt_label"": 1, ""iou"": 0.8350144754377097}, {""pred_label"": 1, ""gt_label"": 2, ""iou"": 0.9533371246919521}, {""pred_label"": 2, ""gt_label"": 0, ""iou"": 0.3394874656049098}, {""pred_label"": 3, ""gt_label"": -1, ""iou"": 0.0}, {""pred_label"": 4, ""gt_label"": -1, ""iou"": 0.0}, {""pred_label"": 5, ""gt_label"": -1, ""iou"": 0.0}]",fpn_2,fpn_2,72x72,1,3,3,24x24,pooled_avg_pool_multi_way,False,False,False,silhouette,0.2948421239852905,"{""2"": 0.2892386317253113, ""3"": 0.2363172173500061, ""4"": 0.24226607382297516, ""5"": 0.2880869507789612, ""6"": 0.2948421239852905, ""7"": 0.2947342097759247, ""8"": 0.29266881942749023}","[75927, 66911, 61882, 52012, 46879, 46085]",jpeg_color_clustering_bic,-1,5,45619,0.1304533080161054,8,3,9628,"{""1"": -816848.8822959096, ""2"": -834864.5130908614, ""3"": -1174428.7958928724, ""4"": -1480774.7772123378, ""5"": -1505936.0588123095, ""6"": -2667153.518335294, ""7"": -2711360.2155100154, ""8"": -2746009.124723589}","[149963, 85537, 68577, 40410, 2317, 1746, 774, 372]","[149963, 85537, 68577]","[3, 4, 5, 6, 7]","[40410, 2317, 1746, 774, 372]",bic,-2746009.124723589,ok
detexture_ade20k_multi,feature_cluster_coarse_global_pooled_predicted_k,training,4,training_ADE_train_00001017,detexture_multi_partition_v1,multi_partition_invariant,0.5679947309190106,0.7127689701905461,0.6546162692845783,3,8,2,0.0,0.935284261517278,56378,60279,3901,2,3,True,hungarian_iou_assignment,"[0.8076559843858213, 0.8963282083712106, 0.0]","[{""pred_label"": 0, ""gt_label"": 0, ""iou"": 0.8076559843858213}, {""pred_label"": 1, ""gt_label"": 1, ""iou"": 0.8963282083712106}, {""pred_label"": -1, ""gt_label"": 2, ""iou"": 0.0}]",fpn_2,fpn_2,72x72,1,3,3,24x24,pooled_avg_pool_multi_way,False,False,False,silhouette,0.3623073995113373,"{""2"": 0.3623073995113373, ""3"": 0.32495200634002686, ""4"": 0.3184344470500946, ""5"": 0.2915635108947754, ""6"": 0.2935769855976105, ""7"": 0.24011485278606415, ""8"": 0.254338800907135}","[32875, 27404]",jpeg_color_clustering_bic,-1,5,3901,0.06471573848272201,8,3,7168,"{""1"": -154096.4732341093, ""2"": -160363.47610231713, ""3"": -195280.62472120614, ""4"": -200044.63851931243, ""5"": -309764.5585462219, ""6"": -332289.4649671238, ""7"": -337824.6319263868, ""8"": -365252.6698187667}","[26131, 22892, 7355, 1637, 915, 679, 499, 171]","[26131, 22892, 7355]","[3, 4, 5, 6, 7]","[1637, 915, 679, 499, 171]",bic,-365252.6698187667,ok
detexture_ade20k_multi,feature_cluster_coarse_global_pooled_predicted_k,training,5,training_ADE_train_00001138,detexture_multi_partition_v1,multi_partition_invariant,0.9105636385959328,0.9099050669591172,0.8663831857400549,3,8,3,1.0,0.8648,83237,96250,13013,3,3,True,hungarian_iou_assignment,"[0.9856818244038656, 0.9144647321287301, 0.8315443592552026]","[{""pred_label"": 0, ""gt_label"": 0, ""iou"": 0.9856818244038656}, {""pred_label"": 1, ""gt_label"": 1, ""iou"": 0.9144647321287301}, {""pred_label"": 2, ""gt_label"": 2, ""iou"": 0.8315443592552026}]",fpn_2,fpn_2,72x72,1,3,3,24x24,pooled_avg_pool_multi_way,False,False,False,silhouette,0.30822473764419556,"{""2"": 0.2903757691383362, ""3"": 0.30822473764419556, ""4"": 0.24503687024116516, ""5"": 0.175670325756073, ""6"": 0.1843053549528122, ""7"": 0.19720683991909027, ""8"": 0.20920175313949585}","[37764, 30176, 28310]",jpeg_color_clustering_bic,-1,5,13013,0.1352,8,3,6023,"{""1"": -177068.43866350935, ""2"": -183745.523665496, ""3"": -363058.7545281713, ""4"": -394130.9244891459, ""5"": -471283.7280444834, ""6"": -684833.0224927837, ""7"": -688156.8090535867, ""8"": -696550.2406556444}","[36164, 31510, 15563, 10838, 1283, 515, 279, 98]","[36164, 31510, 15563]","[3, 4, 5, 6, 7]","[10838, 1283, 515, 279, 98]",bic,-696550.2406556444,ok
detexture_ade20k_multi,feature_cluster_coarse_global_pooled_predicted_k,training,6,training_ADE_train_00001271,detexture_multi_partition_v1,multi_partition_invariant,0.6302248302004512,0.7290554565412725,0.7330152742889807,3,8,4,0.0,0.9535743112485534,294171,308493,14322,4,3,True,hungarian_iou_assignment,"[0.8391995484258635, 0.7577256295991002, 0.9239741427768409, 0.0]","[{""pred_label"": 0, ""gt_label"": 1, ""iou"": 0.8391995484258635}, {""pred_label"": 1, ""gt_label"": 0, ""iou"": 0.7577256295991002}, {""pred_label"": 2, ""gt_label"": 2, ""iou"": 0.9239741427768409}, {""pred_label"": 3, ""gt_label"": -1, ""iou"": 0.0}]",fpn_2,fpn_2,72x72,1,3,3,24x24,pooled_avg_pool_multi_way,False,False,False,silhouette,0.3599545657634735,"{""2"": 0.28476762771606445, ""3"": 0.33993518352508545, ""4"": 0.3599545657634735, ""5"": 0.3313852846622467, ""6"": 0.34592127799987793, ""7"": 0.27903637290000916, ""8"": 0.33079397678375244}","[93359, 90852, 68878, 55404]",jpeg_color_clustering_bic,-1,5,14322,0.04642568875144655,8,3,7201,"{""1"": -626962.0864841222, ""2"": -656277.1675167731, ""3"": -1277000.0456555139, ""4"": -1681402.5328662787, ""5"": -1687605.3650880095, ""6"": -2438544.4770692135, ""7"": -2461071.146666649, ""8"": -2562054.326247201}","[115518, 109220, 69433, 8472, 3859, 836, 797, 358]","[115518, 109220, 69433]","[3, 4, 5, 6, 7]","[8472, 3859, 836, 797, 358]",bic,-2562054.326247201,ok
detexture_ade20k_multi,feature_cluster_coarse_global_pooled_predicted_k,training,7,training_ADE_train_00003020,detexture_multi_partition_v1,multi_partition_invariant,0.3578485382013441,0.5393255853369853,0.6925774929617662,4,8,8,0.0,0.8714849108367627,40660,46656,5996,8,4,True,hungarian_iou_assignment,"[0.42442099492942303, 0.9607737048559448, 0.964291072768192, 0.513302533057193, 0.0, 0.0, 0.0, 0.0]","[{""pred_label"": 0, ""gt_label"": 0, ""iou"": 0.42442099492942303}, {""pred_label"": 1, ""gt_label"": 2, ""iou"": 0.9607737048559448}, {""pred_label"": 2, ""gt_label"": 3, ""iou"": 0.964291072768192}, {""pred_label"": 3, ""gt_label"": 1, ""iou"": 0.513302533057193}, {""pred_label"": 4, ""gt_label"": -1, ""iou"": 0.0}, {""pred_label"": 5, ""gt_label"": -1, ""iou"": 0.0}, {""pred_label"": 6, ""gt_label"": -1, ""iou"": 0.0}, {""pred_label"": 7, ""gt_label"": -1, ""iou"": 0.0}]",fpn_2,fpn_2,72x72,1,3,3,24x24,pooled_avg_pool_multi_way,False,False,False,silhouette,0.31260406970977783,"{""2"": 0.24840977787971497, ""3"": 0.2746385335922241, ""4"": 0.26254940032958984, ""5"": 0.29507213830947876, ""6"": 0.2937816083431244, ""7"": 0.30018675327301025, ""8"": 0.31260406970977783}","[9234, 7776, 7695, 6804, 4617, 4374, 3159, 2997]",jpeg_color_clustering_bic,-1,4,5996,0.1285150891632373,8,4,3256,"{""1"": -99497.41686516078, ""2"": -104810.97213294308, ""3"": -148220.27093087777, ""4"": -187883.54301983767, ""5"": -236264.0018426684, ""6"": -302028.8221614854, ""7"": -316130.3488074123, ""8"": -317264.4002475344}","[14536, 12277, 7393, 6454, 4205, 1068, 697, 26]","[14536, 12277, 7393, 6454]","[4, 5, 6, 7]","[4205, 1068, 697, 26]",bic,-317264.4002475344,ok
detexture_ade20k_multi,feature_cluster_coarse_global_pooled_predicted_k,training,8,training_ADE_train_00003048,detexture_multi_partition_v1,multi_partition_invariant,0.586606773911539,0.8349426759430156,0.7557685619781025,3,8,4,0.0,0.9463587154294032,332876,351744,18868,4,3,True,hungarian_iou_assignment,"[0.9669114183591477, 0.0, 0.5177007686325209, 0.8618149086544873]","[{""pred_label"": 0, ""gt_label"": 0, ""iou"": 0.9669114183591477}, {""pred_label"": 1, ""gt_label"": -1, ""iou"": 0.0}, {""pred_label"": 2, ""gt_label"": 1, ""iou"": 0.5177007686325209}, {""pred_label"": 3, ""gt_label"": 2, ""iou"": 0.8618149086544873}]",fpn_2,fpn_2,72x72,1,3,3,24x24,pooled_avg_pool_multi_way,False,False,False,silhouette,0.3553403615951538,"{""2"": 0.3190845847129822, ""3"": 0.3445483446121216, ""4"": 0.3553403615951538, ""5"": 0.23903173208236694, ""6"": 0.24798662960529327, ""7"": 0.24041645228862762, ""8"": 0.24345619976520538}","[176926, 59715, 58745, 56358]",jpeg_color_clustering_bic,-1,5,18868,0.053641284570596796,8,3,16330,"{""1"": -617947.1784349803, ""2"": -813890.1782511739, ""3"": -948773.1899814517, ""4"": -1896679.100088734, ""5"": -2163658.210031334, ""6"": -2238897.7303662947, ""7"": -2454126.9003793783, ""8"": -2536783.899180748}","[179915, 93807, 59154, 6462, 4392, 3038, 2795, 2181]","[179915, 93807, 59154]","[3, 4, 5, 6, 7]","[6462, 4392, 3038, 2795, 2181]",bic,-2536783.899180748,ok
detexture_ade20k_multi,feature_cluster_coarse_global_pooled_predicted_k,training,9,training_ADE_train_00003079,detexture_multi_partition_v1,multi_partition_invariant,0.5465015711149032,0.7783495856712827,0.7748682203549921,3,8,2,0.0,0.9556121826171875,62627,65536,2909,2,3,True,hungarian_iou_assignment,"[0.9876148862437848, 0.6518898271009248, 0.0]","[{""pred_label"": 0, ""gt_label"": 0, ""iou"": 0.9876148862437848}, {""pred_label"": 1, ""gt_label"": 1, ""iou"": 0.6518898271009248}, {""pred_label"": -1, ""gt_label"": 2, ""iou"": 0.0}]",fpn_2,fpn_2,72x72,1,3,3,24x24,pooled_avg_pool_multi_way,False,False,False,silhouette,0.3144751191139221,"{""2"": 0.3144751191139221, ""3"": 0.30822885036468506, ""4"": 0.27681872248649597, ""5"": 0.24764463305473328, ""6"": 0.2481968104839325, ""7"": 0.24655897915363312, ""8"": 0.25189363956451416}","[33703, 31833]",jpeg_color_clustering_bic,-1,5,2909,0.0443878173828125,8,3,3075,"{""1"": -132061.7592289859, ""2"": -136512.88555852973, ""3"": -295666.9745887815, ""4"": -389689.1311540554, ""5"": -468706.3155295537, ""6"": -472926.90966142685, ""7"": -487339.85800367955, ""8"": -524743.5397137895}","[32952, 19679, 9996, 962, 843, 592, 391, 121]","[32952, 19679, 9996]","[3, 4, 5, 6, 7]","[962, 843, 592, 391, 121]",bic,-524743.5397137895,ok
