variant,split,sample_index,crop_name,points_per_crop,stability_score_thresh,num_predicted_masks,miou,ari,miou_agg,texture_a_best_iou,texture_b_best_iou,texture_a_agg_iou,texture_b_agg_iou,texture_a_overlap_mask_count,texture_b_overlap_mask_count,mask_score_mean,mask_score_median,feature_cluster_coarse_to_fine_global_pooled_init_coarse_only_status,label_permutation_invariant,assignment_used,assignment_source_for_texture_a,assignment_source_for_texture_b,assignment_direct_miou,assignment_direct_ari,assignment_swapped_miou,assignment_swapped_ari,num_feature_levels,coarsest_level_name,finest_level_name,feature_level_names,feature_level_resolutions,cluster_pixel_count_a,cluster_pixel_count_b,rough_mask_positive_pixels_a,rough_mask_positive_pixels_b,refined_mask_positive_pixels_a,refined_mask_positive_pixels_b,refined_score_a,refined_score_b,refined_pair_selection_score,refined_pair_overlap_iou,output_stage,coarsest_init_mode,multiscale_refinement_applied,sam_refinement_applied,coarsest_pool_kernel_size,coarsest_pool_stride,pooled_grid_resolution,active_coarsest_cluster0_num_components,active_coarsest_cluster0_num_1_cell_components,active_coarsest_cluster0_num_2_cell_components,active_coarsest_cluster0_tiny_component_pixels,active_coarsest_cluster0_tiny_component_pixel_fraction,active_coarsest_cluster0_largest_component_size,active_coarsest_cluster0_smallest_component_size,active_coarsest_cluster1_num_components,active_coarsest_cluster1_num_1_cell_components,active_coarsest_cluster1_num_2_cell_components,active_coarsest_cluster1_tiny_component_pixels,active_coarsest_cluster1_tiny_component_pixel_fraction,active_coarsest_cluster1_largest_component_size,active_coarsest_cluster1_smallest_component_size,active_coarsest_component_stats_json
feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,test,0,1,0,0.0,2,0.38076400751630585,0.025301265264227105,0.5,0.24800875872451075,0.5135192563081009,0.17388916015625,0.82611083984375,2,2,0.0,0.0,ok,True,"cluster_b->texture_a,cluster_a->texture_b",cluster_b,cluster_a,0.22778200775430152,0.025301265264227105,0.38076400751630585,0.025301265264227105,1,fpn_2,fpn_2,fpn_2,72x72,31336,34200,31336,34200,31336,34200,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,3,3,24x24,1,0,0,0,0.0,2475,2475,1,0,0,0,0.0,2709,2709,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""2475"": 1}, ""largest_component_size"": 2475, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 2475, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""2709"": 1}, ""largest_component_size"": 2709, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 2709, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,test,1,101,0,0.0,2,0.8723049799226156,0.7471930931108635,0.5,0.8627560003706792,0.8818539594745519,0.4478607177734375,0.5521392822265625,2,2,0.0,0.0,ok,True,"cluster_a->texture_a,cluster_b->texture_b",cluster_a,cluster_b,0.8723049799226156,0.7471930931108635,0.034932482134841694,0.7471930931108635,1,fpn_2,fpn_2,fpn_2,72x72,30952,34584,30952,34584,30952,34584,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,3,3,24x24,1,0,0,0,0.0,2448,2448,3,0,0,0,0.0,2475,117,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""2448"": 1}, ""largest_component_size"": 2448, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 2448, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""117"": 1, ""144"": 1, ""2475"": 1}, ""largest_component_size"": 2475, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 3, ""smallest_component_size"": 117, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,test,2,102,0,0.0,2,0.7736887123265659,0.5562335253340307,0.5,0.7870746734156505,0.7603027512374813,0.5783843994140625,0.4216156005859375,2,2,0.0,0.0,ok,True,"cluster_b->texture_a,cluster_a->texture_b",cluster_b,cluster_a,0.0656948348609005,0.5562335253340307,0.7736887123265659,0.5562335253340307,1,fpn_2,fpn_2,fpn_2,72x72,33536,32000,33536,32000,33536,32000,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,3,3,24x24,3,0,0,0,0.0,2610,18,2,0,0,0,0.0,2529,9,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""18"": 2, ""2610"": 1}, ""largest_component_size"": 2610, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 3, ""smallest_component_size"": 18, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""2529"": 1, ""9"": 1}, ""largest_component_size"": 2529, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 2, ""smallest_component_size"": 9, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,test,3,103,0,0.0,2,0.7187773509165699,0.4824290144747454,0.5,0.7885252165053489,0.6490294853277909,0.7149658203125,0.2850341796875,2,2,0.0,0.0,ok,True,"cluster_b->texture_a,cluster_a->texture_b",cluster_b,cluster_a,0.0766416735888457,0.4824290144747454,0.7187773509165699,0.4824290144747454,1,fpn_2,fpn_2,fpn_2,72x72,28131,37405,28131,37405,28131,37405,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,3,3,24x24,1,0,0,0,0.0,2223,2223,2,0,0,0,0.0,2943,18,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""2223"": 1}, ""largest_component_size"": 2223, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 2223, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""18"": 1, ""2943"": 1}, ""largest_component_size"": 2943, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 2, ""smallest_component_size"": 18, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,test,4,104,0,0.0,2,0.5671665709989876,0.3084983840224355,0.5,0.8991583418547943,0.235174800143181,0.9693603515625,0.0306396484375,2,2,0.0,0.0,ok,True,"cluster_b->texture_a,cluster_a->texture_b",cluster_b,cluster_a,0.04896229313842839,0.3084983840224355,0.5671665709989876,0.3084983840224355,1,fpn_2,fpn_2,fpn_2,72x72,8344,57192,8344,57192,8344,57192,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,3,3,24x24,3,0,0,0,0.0,603,27,1,0,0,0,0.0,4527,4527,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""27"": 2, ""603"": 1}, ""largest_component_size"": 603, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 3, ""smallest_component_size"": 27, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""4527"": 1}, ""largest_component_size"": 4527, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 4527, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,test,5,106,0,0.0,2,0.30710781296648487,-0.010441075923721139,0.5,0.5204996796925048,0.09371594624046495,0.85498046875,0.14501953125,2,2,0.0,0.0,ok,True,"cluster_b->texture_a,cluster_a->texture_b",cluster_b,cluster_a,0.27527046698982005,-0.010441075923721139,0.30710781296648487,-0.010441075923721139,1,fpn_2,fpn_2,fpn_2,72x72,26628,38908,26628,38908,26628,38908,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,3,3,24x24,1,0,0,0,0.0,2115,2115,1,0,0,0,0.0,3069,3069,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""2115"": 1}, ""largest_component_size"": 2115, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 2115, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""3069"": 1}, ""largest_component_size"": 3069, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 3069, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,test,6,12,0,0.0,2,0.8819208369116474,0.7651401033960868,0.5,0.8771987555342826,0.8866429182890122,0.4765472412109375,0.5234527587890625,2,2,0.0,0.0,ok,True,"cluster_b->texture_a,cluster_a->texture_b",cluster_b,cluster_a,0.03232622215321674,0.7651401033960868,0.8819208369116474,0.7651401033960868,1,fpn_2,fpn_2,fpn_2,72x72,34016,31520,34016,31520,34016,31520,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,3,3,24x24,1,0,0,0,0.0,2700,2700,4,0,0,0,0.0,2376,9,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""2700"": 1}, ""largest_component_size"": 2700, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 2700, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""2376"": 1, ""45"": 1, ""54"": 1, ""9"": 1}, ""largest_component_size"": 2376, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 4, ""smallest_component_size"": 9, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,test,7,121,0,0.0,2,0.926309502044273,0.858654234960649,0.5,0.9413361373306598,0.9112828667578862,0.61163330078125,0.38836669921875,2,2,0.0,0.0,ok,True,"cluster_b->texture_a,cluster_a->texture_b",cluster_b,cluster_a,0.01860818983238957,0.858654234960649,0.926309502044273,0.858654234960649,1,fpn_2,fpn_2,fpn_2,72x72,26231,39305,26231,39305,26231,39305,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,3,3,24x24,4,0,0,0,0.0,1305,63,1,0,0,0,0.0,3105,3105,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""1305"": 1, ""612"": 1, ""63"": 1, ""99"": 1}, ""largest_component_size"": 1305, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 4, ""smallest_component_size"": 63, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""3105"": 1}, ""largest_component_size"": 3105, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 3105, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,test,8,122,0,0.0,2,0.926935557659914,0.8541329155864718,0.5,0.9255284065357517,0.9283427087840762,0.504913330078125,0.495086669921875,2,2,0.0,0.0,ok,True,"cluster_a->texture_a,cluster_b->texture_b",cluster_a,cluster_b,0.926935557659914,0.8541329155864718,0.019091005626129032,0.8541329155864718,1,fpn_2,fpn_2,fpn_2,72x72,31136,34400,31136,34400,31136,34400,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,3,3,24x24,1,0,0,0,0.0,2457,2457,1,0,0,0,0.0,2727,2727,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""2457"": 1}, ""largest_component_size"": 2457, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 2457, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""2727"": 1}, ""largest_component_size"": 2727, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 2727, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,test,9,125,0,0.0,2,0.9456273256207037,0.9052032451514982,0.5,0.9246345845675715,0.9666200666738359,0.3048553466796875,0.6951446533203125,2,2,0.0,0.0,ok,True,"cluster_a->texture_a,cluster_b->texture_b",cluster_a,cluster_b,0.9456273256207037,0.9052032451514982,0.011976522596251007,0.9052032451514982,1,fpn_2,fpn_2,fpn_2,72x72,19655,45881,19655,45881,19655,45881,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,3,3,24x24,1,0,0,0,0.0,1557,1557,1,0,0,0,0.0,3627,3627,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""1557"": 1}, ""largest_component_size"": 1557, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 1557, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""3627"": 1}, ""largest_component_size"": 3627, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 3627, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,test,10,128,0,0.0,2,0.9458562044715306,0.9081464168002163,0.5,0.9689598192808886,0.9227525896621727,0.7135009765625,0.2864990234375,2,2,0.0,0.0,ok,True,"cluster_b->texture_a,cluster_a->texture_b",cluster_b,cluster_a,0.011429484685388094,0.9081464168002163,0.9458562044715306,0.9081464168002163,1,fpn_2,fpn_2,fpn_2,72x72,18162,47374,18162,47374,18162,47374,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,3,3,24x24,1,0,0,0,0.0,1449,1449,1,0,0,0,0.0,3735,3735,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""1449"": 1}, ""largest_component_size"": 1449, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 1449, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""3735"": 1}, ""largest_component_size"": 3735, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 3735, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,test,11,129,0,0.0,2,0.8719601846223134,0.7500683729984864,0.5,0.8538592224924215,0.8900611467522053,0.3942108154296875,0.6057891845703125,2,2,0.0,0.0,ok,True,"cluster_a->texture_a,cluster_b->texture_b",cluster_a,cluster_b,0.8719601846223134,0.7500683729984864,0.03367495932854714,0.7500683729984864,1,fpn_2,fpn_2,fpn_2,72x72,29816,35720,29816,35720,29816,35720,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,3,3,24x24,1,0,0,0,0.0,2358,2358,2,0,0,0,0.0,2817,9,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""2358"": 1}, ""largest_component_size"": 2358, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 2358, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""2817"": 1, ""9"": 1}, ""largest_component_size"": 2817, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 2, ""smallest_component_size"": 9, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,test,12,13,0,0.0,2,0.8369326412789909,0.6823307969728493,0.5,0.8145882812245827,0.8592770013333991,0.4673309326171875,0.5326690673828125,2,2,0.0,0.0,ok,True,"cluster_a->texture_a,cluster_b->texture_b",cluster_a,cluster_b,0.8369326412789909,0.6823307969728493,0.043629854447116846,0.6823307969728493,1,fpn_2,fpn_2,fpn_2,72x72,25148,40388,25148,40388,25148,40388,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,3,3,24x24,2,0,0,0,0.0,1980,9,1,0,0,0,0.0,3195,3195,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""1980"": 1, ""9"": 1}, ""largest_component_size"": 1980, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 2, ""smallest_component_size"": 9, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""3195"": 1}, ""largest_component_size"": 3195, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 3195, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
