route,dataset_id,variant,split,sample_index,crop_name,num_predicted_masks,evaluation_view,miou,ari,miou_agg,texture_a_best_iou,texture_b_best_iou,texture_a_agg_iou,texture_b_agg_iou,texture_a_overlap_mask_count,texture_b_overlap_mask_count,mask_score_mean,mask_score_median,feature_cluster_coarse_to_fine_global_pooled_init_flip_avg_coarse_only_status,label_permutation_invariant,assignment_used,assignment_source_for_texture_a,assignment_source_for_texture_b,assignment_direct_miou,assignment_direct_ari,assignment_swapped_miou,assignment_swapped_ari,evaluation_selector,num_feature_levels,coarsest_level_name,finest_level_name,feature_level_names,feature_level_resolutions,cluster_pixel_count_a,cluster_pixel_count_b,rough_mask_positive_pixels_a,rough_mask_positive_pixels_b,refined_mask_positive_pixels_a,refined_mask_positive_pixels_b,refined_score_a,refined_score_b,refined_pair_selection_score,refined_pair_overlap_iou,output_stage,coarsest_init_mode,multiscale_refinement_applied,sam_refinement_applied,evaluation_contract,eval_miou,eval_ari,foreground_cluster_a_iou,foreground_cluster_b_iou,coarsest_pool_kernel_size,coarsest_pool_stride,pooled_grid_resolution,active_coarsest_component_stats_json
stld,architexture:stld,feature_cluster_coarse_to_fine_global_pooled_init_flip_avg_coarse_only,benchmark,0,1,2,direct_foreground,0.7364963197220593,0.6077666262062434,0.5,0.558269853778128,0.9147227856659905,0.0975189208984375,0.9024810791015625,2,2,0.0,0.0,ok,False,"cluster_a->foreground,cluster_b->background",cluster_a,cluster_b,0.7364963197220593,0.6077666262062434,0.03850859468819715,0.6077666262062434,best_foreground_cluster_iou,1,fpn_2,fpn_2,fpn_2,72x72,11406,54130,11406,54130,11406,54130,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_flip_avg_coarse_only,False,False,architexture_binary_v1,0.7364963197220593,0.6077666262062434,0.558269853778128,0.0002479092982514131,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""900"": 1}, ""largest_component_size"": 900, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 900, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""4284"": 1}, ""largest_component_size"": 4284, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 4284, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
stld,architexture:stld,feature_cluster_coarse_to_fine_global_pooled_init_flip_avg_coarse_only,benchmark,1,2,2,direct_foreground,0.28875242202014983,-0.02861176347288069,0.5,0.14740326503999798,0.4301015790003017,0.0931854248046875,0.9068145751953125,2,2,0.0,0.0,ok,False,"cluster_b->foreground,cluster_a->background",cluster_b,cluster_a,0.26215257104039513,-0.02861176347288069,0.28875242202014983,-0.02861176347288069,best_foreground_cluster_iou,1,fpn_2,fpn_2,fpn_2,72x72,25888,39648,25888,39648,25888,39648,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_flip_avg_coarse_only,False,False,architexture_binary_v1,0.28875242202014983,-0.02861176347288069,0.007208965560662343,0.14740326503999798,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""2052"": 1}, ""largest_component_size"": 2052, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 2052, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""3132"": 1}, ""largest_component_size"": 3132, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 3132, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
stld,architexture:stld,feature_cluster_coarse_to_fine_global_pooled_init_flip_avg_coarse_only,benchmark,2,3,2,direct_foreground,0.8518195190921214,0.7490477407238392,0.5,0.7877532460971051,0.9158857920871376,0.244903564453125,0.755096435546875,2,2,0.0,0.0,ok,False,"cluster_a->foreground,cluster_b->background",cluster_a,cluster_b,0.8518195190921214,0.7490477407238392,0.03246371971698741,0.7490477407238392,best_foreground_cluster_iou,1,fpn_2,fpn_2,fpn_2,72x72,19335,46201,19335,46201,19335,46201,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_flip_avg_coarse_only,False,False,architexture_binary_v1,0.8518195190921214,0.7490477407238392,0.7877532460971051,0.007411842765361772,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""1530"": 1}, ""largest_component_size"": 1530, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 1530, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""3654"": 1}, ""largest_component_size"": 3654, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 3654, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
stld,architexture:stld,feature_cluster_coarse_to_fine_global_pooled_init_flip_avg_coarse_only,benchmark,3,4,2,direct_foreground,0.8991497580452597,0.8705565093905593,0.5,0.8181818181818182,0.980117697908701,0.0838623046875,0.9161376953125,2,2,0.0,0.0,ok,False,"cluster_a->foreground,cluster_b->background",cluster_a,cluster_b,0.8991497580452597,0.8705565093905593,0.009153741132622671,0.8705565093905593,best_foreground_cluster_iou,1,fpn_2,fpn_2,fpn_2,72x72,6464,59072,6464,59072,6464,59072,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_flip_avg_coarse_only,False,False,architexture_binary_v1,0.8991497580452597,0.8705565093905593,0.8181818181818182,0.0017687032612405747,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""513"": 1}, ""largest_component_size"": 513, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 513, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""4671"": 1}, ""largest_component_size"": 4671, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 4671, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
stld,architexture:stld,feature_cluster_coarse_to_fine_global_pooled_init_flip_avg_coarse_only,benchmark,4,5,2,direct_foreground,0.9209065477889642,0.882001582376924,0.5,0.8733591885441527,0.9684539070337755,0.1831817626953125,0.8168182373046875,2,2,0.0,0.0,ok,False,"cluster_a->foreground,cluster_b->background",cluster_a,cluster_b,0.9209065477889642,0.882001582376924,0.013052348953389392,0.882001582376924,best_foreground_cluster_iou,1,fpn_2,fpn_2,fpn_2,72x72,13113,52423,13113,52423,13113,52423,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_flip_avg_coarse_only,False,False,architexture_binary_v1,0.9209065477889642,0.882001582376924,0.8733591885441527,0.004599816007359705,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""1035"": 1}, ""largest_component_size"": 1035, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 1035, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""4149"": 1}, ""largest_component_size"": 4149, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 4149, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
stld,architexture:stld,feature_cluster_coarse_to_fine_global_pooled_init_flip_avg_coarse_only,benchmark,5,6,2,direct_foreground,0.75563607456078,0.5546450901464658,0.5,0.6860249270750464,0.8252472220465136,0.2787628173828125,0.7212371826171875,2,2,0.0,0.0,ok,False,"cluster_a->foreground,cluster_b->background",cluster_a,cluster_b,0.75563607456078,0.5546450901464658,0.06355701907320371,0.5546450901464658,best_foreground_cluster_iou,1,fpn_2,fpn_2,fpn_2,72x72,26237,39299,26237,39299,26237,39299,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_flip_avg_coarse_only,False,False,architexture_binary_v1,0.75563607456078,0.5546450901464658,0.6860249270750464,0.002787068004459309,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""2070"": 1}, ""largest_component_size"": 2070, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 2070, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""3114"": 1}, ""largest_component_size"": 3114, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 3114, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
stld,architexture:stld,feature_cluster_coarse_to_fine_global_pooled_init_flip_avg_coarse_only,benchmark,6,7,2,direct_foreground,0.5219061349726561,0.23730555329370617,0.5,0.28250288524261125,0.7613093847027009,0.0860443115234375,0.9139556884765625,2,2,0.0,0.0,ok,False,"cluster_a->foreground,cluster_b->background",cluster_a,cluster_b,0.5219061349726561,0.23730555329370617,0.10912683381414769,0.23730555329370617,best_foreground_cluster_iou,1,fpn_2,fpn_2,fpn_2,72x72,19920,45616,19920,45616,19920,45616,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_flip_avg_coarse_only,False,False,architexture_binary_v1,0.5219061349726561,0.23730555329370617,0.28250288524261125,0.00017562346329469617,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""1575"": 1}, ""largest_component_size"": 1575, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 1575, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""18"": 2, ""3537"": 1, ""9"": 4}, ""largest_component_size"": 3537, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 7, ""smallest_component_size"": 9, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
stld,architexture:stld,feature_cluster_coarse_to_fine_global_pooled_init_flip_avg_coarse_only,benchmark,7,8,2,direct_foreground,0.8445183946277044,0.7857162802681128,0.5,0.7293676921330458,0.959669097122363,0.098876953125,0.901123046875,2,2,0.0,0.0,ok,False,"cluster_a->foreground,cluster_b->background",cluster_a,cluster_b,0.8445183946277044,0.7857162802681128,0.018218863002491915,0.7857162802681128,best_foreground_cluster_iou,1,fpn_2,fpn_2,fpn_2,72x72,8754,56782,8754,56782,8754,56782,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_flip_avg_coarse_only,False,False,architexture_binary_v1,0.8445183946277044,0.7857162802681128,0.7293676921330458,0.0008701567864318826,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""693"": 1}, ""largest_component_size"": 693, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 693, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""4491"": 1}, ""largest_component_size"": 4491, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 4491, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
stld,architexture:stld,feature_cluster_coarse_to_fine_global_pooled_init_flip_avg_coarse_only,benchmark,8,9,2,direct_foreground,0.89256865962857,0.8105925186534798,0.5,0.8530035010134512,0.9321338182436887,0.287017822265625,0.712982177734375,2,2,0.0,0.0,ok,False,"cluster_b->foreground,cluster_a->background",cluster_b,cluster_a,0.02454811500682682,0.8105925186534798,0.89256865962857,0.8105925186534798,best_foreground_cluster_iou,1,fpn_2,fpn_2,fpn_2,72x72,44121,21415,44121,21415,44121,21415,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_flip_avg_coarse_only,False,False,architexture_binary_v1,0.89256865962857,0.8105925186534798,0.004677671700884447,0.8530035010134512,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""3492"": 1}, ""largest_component_size"": 3492, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 3492, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""1674"": 1, ""9"": 2}, ""largest_component_size"": 1674, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 3, ""smallest_component_size"": 9, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
stld,architexture:stld,feature_cluster_coarse_to_fine_global_pooled_init_flip_avg_coarse_only,benchmark,9,10,2,direct_foreground,0.30203228019746237,-0.04726421939751912,0.5,0.19771180030257185,0.4063527600923529,0.128326416015625,0.871673583984375,2,2,0.0,0.0,ok,False,"cluster_b->foreground,cluster_a->background",cluster_b,cluster_a,0.2594992136459763,-0.04726421939751912,0.30203228019746237,-0.04726421939751912,best_foreground_cluster_iou,1,fpn_2,fpn_2,fpn_2,72x72,23278,42258,23278,42258,23278,42258,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_flip_avg_coarse_only,False,False,architexture_binary_v1,0.30203228019746237,-0.04726421939751912,0.0014537639845774604,0.19771180030257185,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""1845"": 1}, ""largest_component_size"": 1845, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 1845, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""3339"": 1}, ""largest_component_size"": 3339, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 3339, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
