route,dataset_id,variant,split,sample_index,crop_name,num_predicted_masks,miou,ari,miou_agg,texture_a_best_iou,texture_b_best_iou,texture_a_agg_iou,texture_b_agg_iou,texture_a_overlap_mask_count,texture_b_overlap_mask_count,mask_score_mean,mask_score_median,feature_cluster_coarse_to_fine_global_pooled_init_coarse_only_status,evaluation_view,label_permutation_invariant,assignment_used,assignment_source_for_texture_a,assignment_source_for_texture_b,assignment_direct_miou,assignment_direct_ari,assignment_swapped_miou,assignment_swapped_ari,evaluation_selector,num_feature_levels,coarsest_level_name,finest_level_name,feature_level_names,feature_level_resolutions,cluster_pixel_count_a,cluster_pixel_count_b,rough_mask_positive_pixels_a,rough_mask_positive_pixels_b,refined_mask_positive_pixels_a,refined_mask_positive_pixels_b,refined_score_a,refined_score_b,refined_pair_selection_score,refined_pair_overlap_iou,output_stage,coarsest_init_mode,multiscale_refinement_applied,sam_refinement_applied,foreground_cluster_a_iou,foreground_cluster_b_iou,coarsest_pool_kernel_size,coarsest_pool_stride,pooled_grid_resolution,active_coarsest_component_stats_json
stld,architexture:stld,feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,benchmark,0,1,2,0.2836875847850375,-0.011033012132239449,0.5,0.12580645161290321,0.44156871795717184,0.0975189208984375,0.9024810791015625,2,2,0.0,0.0,ok,direct_foreground,False,"cluster_b->foreground,cluster_a->background",cluster_b,cluster_a,0.2755728638636668,-0.011033012132239449,0.2836875847850375,-0.011033012132239449,best_foreground_cluster_iou,1,fpn_2,fpn_2,fpn_2,72x72,28302,37234,28302,37234,28302,37234,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,0.04569430629653073,0.12580645161290321,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""2250"": 1}, ""largest_component_size"": 2250, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 2250, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""2934"": 1}, ""largest_component_size"": 2934, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 2934, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
stld,architexture:stld,feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,benchmark,1,2,2,0.3539381903713062,0.020587897850359933,0.5,0.17807494489346068,0.5298014358491517,0.0931854248046875,0.9068145751953125,2,2,0.0,0.0,ok,direct_foreground,False,"cluster_a->foreground,cluster_b->background",cluster_a,cluster_b,0.3539381903713062,0.020587897850359933,0.21379154730016614,0.020587897850359933,best_foreground_cluster_iou,1,fpn_2,fpn_2,fpn_2,72x72,33977,31559,33977,31559,33977,31559,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,0.17807494489346068,0.00127598490084534,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""2682"": 1}, ""largest_component_size"": 2682, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 2682, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""2493"": 1, ""9"": 1}, ""largest_component_size"": 2493, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 2, ""smallest_component_size"": 9, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
stld,architexture:stld,feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,benchmark,2,3,2,0.611948014781958,0.3030514680201924,0.5,0.5205412455167917,0.7033547840471244,0.244903564453125,0.755096435546875,2,2,0.0,0.0,ok,direct_foreground,False,"cluster_b->foreground,cluster_a->background",cluster_b,cluster_a,0.1125213133934246,0.3030514680201924,0.611948014781958,0.3030514680201924,best_foreground_cluster_iou,1,fpn_2,fpn_2,fpn_2,72x72,34951,30585,34951,30585,34951,30585,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,0.0016694162935030246,0.5205412455167917,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""2763"": 1, ""9"": 1}, ""largest_component_size"": 2763, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 2, ""smallest_component_size"": 9, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""2412"": 1}, ""largest_component_size"": 2412, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 2412, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
stld,architexture:stld,feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,benchmark,3,4,2,0.3021386503405572,0.001222738094577997,0.5,0.11327218164316856,0.49100511903794586,0.0838623046875,0.9161376953125,2,2,0.0,0.0,ok,direct_foreground,False,"cluster_a->foreground,cluster_b->background",cluster_a,cluster_b,0.3021386503405572,0.001222738094577997,0.25379895683514253,0.001222738094577997,best_foreground_cluster_iou,1,fpn_2,fpn_2,fpn_2,72x72,33827,31709,33827,31709,33827,31709,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,0.11327218164316856,0.041865023802856345,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""2682"": 1}, ""largest_component_size"": 2682, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 2682, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""2502"": 1}, ""largest_component_size"": 2502, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 2502, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
stld,architexture:stld,feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,benchmark,4,5,2,0.40514682970615096,0.022108936642562863,0.5,0.30830786761278295,0.501985791799519,0.1831817626953125,0.8168182373046875,2,2,0.0,0.0,ok,direct_foreground,False,"cluster_b->foreground,cluster_a->background",cluster_b,cluster_a,0.2046052575243179,0.022108936642562863,0.40514682970615096,0.022108936642562863,best_foreground_cluster_iou,1,fpn_2,fpn_2,fpn_2,72x72,27022,38514,27022,38514,27022,38514,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,0.0025689110386107328,0.30830786761278295,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""2133"": 1, ""9"": 1}, ""largest_component_size"": 2133, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 2, ""smallest_component_size"": 9, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""3042"": 1}, ""largest_component_size"": 3042, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 3042, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
stld,architexture:stld,feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,benchmark,5,6,2,0.3359900548490504,0.0012460374964770688,0.5,0.24072515688490298,0.4312549528131979,0.2787628173828125,0.7212371826171875,2,2,0.0,0.0,ok,direct_foreground,False,"cluster_b->foreground,cluster_a->background",cluster_b,cluster_a,0.3013817730640177,0.0012460374964770688,0.3359900548490504,0.0012460374964770688,best_foreground_cluster_iou,1,fpn_2,fpn_2,fpn_2,72x72,32202,33334,32202,33334,32202,33334,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,0.195598616572701,0.24072515688490298,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""2511"": 1, ""27"": 1}, ""largest_component_size"": 2511, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 2, ""smallest_component_size"": 27, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""2646"": 1}, ""largest_component_size"": 2646, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 2646, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
stld,architexture:stld,feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,benchmark,6,7,2,0.6887489673652676,0.5287788746940281,0.5,0.478805560322636,0.8986923744078992,0.0860443115234375,0.9139556884765625,2,2,0.0,0.0,ok,direct_foreground,False,"cluster_a->foreground,cluster_b->background",cluster_a,cluster_b,0.6887489673652676,0.5287788746940281,0.046427782777635415,0.5287788746940281,best_foreground_cluster_iou,1,fpn_2,fpn_2,fpn_2,72x72,11595,53941,11595,53941,11595,53941,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,0.478805560322636,0.0009912467868483392,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""108"": 1, ""369"": 1, ""441"": 1}, ""largest_component_size"": 441, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 3, ""smallest_component_size"": 108, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""4266"": 1}, ""largest_component_size"": 4266, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 4266, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
stld,architexture:stld,feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,benchmark,7,8,2,0.6805179477575486,0.507971172219055,0.5,0.4794255524964655,0.8816103430186316,0.098876953125,0.901123046875,2,2,0.0,0.0,ok,direct_foreground,False,"cluster_a->foreground,cluster_b->background",cluster_a,cluster_b,0.6805179477575486,0.507971172219055,0.053438772058738856,0.507971172219055,best_foreground_cluster_iou,1,fpn_2,fpn_2,fpn_2,72x72,13402,52134,13402,52134,13402,52134,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,0.4794255524964655,0.0006316472335558325,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""1035"": 1, ""9"": 3}, ""largest_component_size"": 1035, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 4, ""smallest_component_size"": 9, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""18"": 2, ""27"": 1, ""36"": 1, ""4005"": 1, ""9"": 2}, ""largest_component_size"": 4005, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 7, ""smallest_component_size"": 9, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
stld,architexture:stld,feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,benchmark,8,9,2,0.616960936647176,0.29907518765126895,0.5,0.5444304613401271,0.689491411954225,0.287017822265625,0.712982177734375,2,2,0.0,0.0,ok,direct_foreground,False,"cluster_b->foreground,cluster_a->background",cluster_b,cluster_a,0.11716144314733266,0.29907518765126895,0.616960936647176,0.29907518765126895,best_foreground_cluster_iou,1,fpn_2,fpn_2,fpn_2,72x72,34030,31506,34030,31506,34030,31506,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,0.02072749048621709,0.5444304613401271,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""2673"": 1, ""9"": 1}, ""largest_component_size"": 2673, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 2, ""smallest_component_size"": 9, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""2502"": 1}, ""largest_component_size"": 2502, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 2502, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
stld,architexture:stld,feature_cluster_coarse_to_fine_global_pooled_init_coarse_only,benchmark,9,10,2,0.2879952253294787,-0.00505589968938773,0.5,0.13782631995304565,0.4381641307059117,0.128326416015625,0.871673583984375,2,2,0.0,0.0,ok,direct_foreground,False,"cluster_b->foreground,cluster_a->background",cluster_b,cluster_a,0.2893934344658973,-0.00505589968938773,0.2879952253294787,-0.00505589968938773,best_foreground_cluster_iou,1,fpn_2,fpn_2,fpn_2,72x72,29358,36178,29358,36178,29358,36178,0.0,0.0,0.0,0.0,coarsest_pooled_direct,pooled_avg_pool_coarse_only,False,False,0.08656750769584856,0.13782631995304565,3,3,24x24,"{""cluster_0"": {""cluster_value"": 0, ""component_size_histogram"": {""2331"": 1}, ""largest_component_size"": 2331, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 2331, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}, ""cluster_1"": {""cluster_value"": 1, ""component_size_histogram"": {""2853"": 1}, ""largest_component_size"": 2853, ""num_1_cell_components"": 0, ""num_2_cell_components"": 0, ""num_components"": 1, ""smallest_component_size"": 2853, ""tiny_component_pixel_fraction"": 0.0, ""tiny_component_pixels"": 0}}"
