variant,split,sample_index,crop_name,points_per_crop,stability_score_thresh,num_predicted_masks,miou,ari,miou_agg,texture_a_best_iou,texture_b_best_iou,texture_a_agg_iou,texture_b_agg_iou,texture_a_overlap_mask_count,texture_b_overlap_mask_count,mask_score_mean,mask_score_median
default,train,0,1,32,0.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
default,train,1,101,32,0.95,13,0.02408866926769556,0.06042132019907098,0.10208443266728497,0.047902967530918876,0.00027437100447224737,0.20345156239362788,0.0007173029409420578,13,4,0.9197864486620977,0.9143823981285095
default,train,2,102,32,0.95,1,0.16635634002636737,0.17833652581433757,0.16635634002636737,0.0015930669725355254,0.3311196130801992,0.0015930669725355254,0.3311196130801992,1,1,0.9495651721954346,0.9495651721954346
default,train,3,103,32,0.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
default,train,4,104,32,0.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
default,train,5,106,32,0.95,1,0.4998695470888075,-0.0005058440771593822,0.4998695470888075,0.85467529296875,0.145063801208865,0.85467529296875,0.145063801208865,1,1,0.9907530546188354,0.9907530546188354
default,train,6,107,32,0.95,7,0.1649185585537077,0.5084547140319807,0.4862394610162583,0.3277597491887135,0.002077367918701926,0.9674687935319985,0.005010128500518023,7,7,0.9677616357803345,0.9735996127128601
default,train,7,109,32,0.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
default,train,8,118,32,0.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
default,train,9,12,32,0.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
default,train,10,121,32,0.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
default,train,11,122,32,0.95,2,0.9402719580912129,0.8826040413441861,0.4941427755194502,0.9254827304868098,0.955061185695616,0.48812224129475235,0.500163309744148,2,2,0.9876249432563782,0.9876249432563782
default,train,12,125,32,0.95,29,0.49894891816909703,0.8832802866700525,0.5259352056253979,0.015516292106712048,0.982381544231482,0.06948886701931357,0.982381544231482,29,1,0.9019058428961655,0.8996095657348633
default,train,13,128,32,0.95,3,0.1236046654028968,0.15067979709757987,0.18378787801474172,0.08892215568862276,0.15828717511717086,0.08892215568862276,0.2786536003408607,1,2,0.9329097270965576,0.9371790289878845
default,train,14,129,32,0.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
default,train,15,13,32,0.95,3,0.020246119052589783,0.0035971126972865657,0.02298180326010074,0.03398961700460378,0.006502621100575783,0.03398961700460378,0.011973989515597697,1,2,0.8918471932411194,0.8897292017936707
default,train,16,134,32,0.95,2,0.4957164732078117,0.9650902504342008,0.4952543821396501,0.9857676825761932,0.0056652638394302365,0.9857676825761932,0.00474108170310702,1,2,0.9330815970897675,0.9330815970897675
default,train,17,139,32,0.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
default,train,18,14,32,0.95,2,0.9808591792423343,0.9640745171893212,0.4960684026975154,0.9870896660828296,0.9746286924018391,0.5387283771699917,0.45340842822503913,2,2,0.9844751954078674,0.9844751954078674
default,train,19,142,32,0.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
default,train,20,149,32,0.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
default,train,21,15,32,0.95,1,0.48359757843573453,0.9315296781382976,0.48359757843573453,0.012542741923118205,0.9546524149483508,0.012542741923118205,0.9546524149483508,1,1,0.9748778939247131,0.9748778939247131
default,train,22,16,32,0.95,1,0.0026220869253792433,-0.001983954161076098,0.0026220869253792433,0.005244173850758487,0.0,0.005244173850758487,0.0,1,0,0.9055500030517578,0.9055500030517578
default,train,23,17,32,0.95,1,0.39486652808685174,0.368079235718904,0.39486652808685174,0.7080594714654821,0.08167358470822142,0.7080594714654821,0.08167358470822142,1,1,0.9757335782051086,0.9757335782051086
default,train,24,175,32,0.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
default,train,25,176,32,0.95,1,0.4366115462721207,0.49997183208432605,0.4366115462721207,0.0,0.8732230925442414,0.0,0.8732230925442414,0,1,0.9932253956794739,0.9932253956794739
default,train,26,178,32,0.95,5,0.880512642296376,0.739892678286695,0.4827906311006773,0.9849492349492349,0.7760760496435173,0.4696299070511729,0.4959513551501818,4,5,0.9521785974502563,0.9700143933296204
default,train,27,18,32,0.95,8,0.3893844921387254,0.36188932155295106,0.4273007783061771,0.6865157480314961,0.09225323624595469,0.6865157480314961,0.1680858085808581,1,8,0.9272721484303474,0.9270654916763306
default,train,28,180,32,0.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
default,train,29,181,32,0.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
default,train,30,182,32,0.95,4,0.4937893400882182,0.964108035452849,0.49698167745094324,0.004784548549958906,0.9827941316264774,0.005806293470600851,0.9881570614312857,4,2,0.9215397238731384,0.9034290015697479
default,train,31,183,32,0.95,4,0.9916221588639518,0.9808905621859185,0.4983961204397649,0.994677746111321,0.9885665716165826,0.444638721452783,0.5521535194267467,3,4,0.9834569096565247,0.9841491878032684
default,train,32,184,32,0.95,11,0.5077718125794476,0.717022116175417,0.6225418974356292,0.04743108791388028,0.9681125372450149,0.31505464035230796,0.9300291545189504,10,2,0.942476982420141,0.9436278343200684
