run_id,status,source_domain,target_dataset,lora_shots,primary_metric,primary_metric_value,delta_from_zero_shot,edge_ap,edge_ods_f1,edge_ois_f1,metrics_source,checkpoint_out
wildbsds_diffedge_rwtd_zs,done,bsds_wild,RWTD,0,edge/AP,0.5652639098849919,0.0,0.5652639098849919,0.6646136221777303,0.6902670666878398,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/wildbsds_diffedge_rwtd_zs/metrics.json,
wildbsds_diffedge_rwtd_loraC_1shot,done,bsds_wild,RWTD,1,edge/AP,0.5611637292244767,-0.0041001806605152,0.5611637292244767,0.6650283078718088,0.6879433244587889,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/wildbsds_diffedge_rwtd_loraC_1shot/metrics.json,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/wildbsds_diffedge_rwtd_loraC_1shot/checkpoints/lora-best_step100.pt
wildbsds_diffedge_rwtd_loraC_4shot,done,bsds_wild,RWTD,4,edge/AP,0.5567271346529664,-0.0085367752320254,0.5567271346529664,0.6662419840104354,0.6916008551461064,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/wildbsds_diffedge_rwtd_loraC_4shot/metrics.json,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/wildbsds_diffedge_rwtd_loraC_4shot/checkpoints/lora-best_step100.pt
wildbsds_diffedge_rwtd_loraC_16shot,running,bsds_wild,RWTD,16,edge/AP,0.565425823698356,0.0001619138133641,0.565425823698356,0.6741621502046234,0.6956140107219243,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/wildbsds_diffedge_rwtd_loraC_16shot/checkpoints/performance_summary.json,
wildbsds_diffedge_rwtd_loraC_32shot,pending,bsds_wild,RWTD,32,edge/AP,,,,,,,
wildbsds_diffedge_rwtd_loraC_64shot,pending,bsds_wild,RWTD,64,edge/AP,,,,,,,
synthetic_diffedge_rwtd_zs,done,synthetic,RWTD,0,edge/AP,0.4133136333801348,0.0,0.4133136333801348,0.5919612276783528,0.5939763554497497,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_zs/metrics.json,
synthetic_diffedge_rwtd_loraC_1shot,done,synthetic,RWTD,1,edge/AP,0.4211510540883346,0.0078374207081997,0.4211510540883346,0.5992673677535232,0.6004998036059294,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_1shot/metrics.json,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_1shot/checkpoints/lora-best_step1700.pt
synthetic_diffedge_rwtd_loraC_4shot,done,synthetic,RWTD,4,edge/AP,0.4494530832177026,0.0361394498375677,0.4494530832177026,0.6151079449703032,0.6168301635609039,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_4shot/metrics.json,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_4shot/checkpoints/lora-best_step1500.pt
synthetic_diffedge_rwtd_loraC_16shot,done,synthetic,RWTD,16,edge/AP,0.4772408160307737,0.0639271826506388,0.4772408160307737,0.640430096052917,0.6426269959659286,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_16shot/metrics.json,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_16shot/checkpoints/lora-best_step3400.pt
synthetic_diffedge_rwtd_loraC_32shot,done,synthetic,RWTD,32,edge/AP,0.4728310946039777,0.0595174612238429,0.4728310946039777,0.6429086113728528,0.6435076660424441,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_32shot/metrics.json,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_32shot/checkpoints/lora-best_step3800.pt
synthetic_diffedge_rwtd_loraC_64shot,done,synthetic,RWTD,64,edge/AP,0.4845389167287387,0.0712252833486039,0.4845389167287387,0.6540003245449116,0.6547374791120155,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_64shot/metrics.json,/home/nada/PycharmProjects/DiffusionEdge/runs/diffedge_rwtd_lora_stage1/synthetic_diffedge_rwtd_loraC_64shot/checkpoints/lora-best_step3800.pt
