variant,split,sample_index,crop_name,assignment_used,direct_eval_miou,direct_eval_ari,swapped_eval_miou,swapped_eval_ari,selected_level_names_json,coarsest_level_name,raw_level_names_json,raw_level_shapes_json,aligned_level_shapes_json,coarsest_grid_height,coarsest_grid_width,probe_projection_dim,probe_embedding_dim,learnable_gates,gate_logits_json,gate_weights_json,final_gate_weights_compact,kmeans_backend,kmeans_metric,kmeans_num_clusters,checkpoint_path,evaluation_view,evaluation_contract,eval_miou,eval_ari
fpn_0_only,test,0,1,"cluster_0->texture_a,cluster_1->texture_b",0.8026216961496611,0.6879446110967604,0.03763694342618485,0.6879446110967604,"[""fpn_0""]",fpn_2,"[""fpn_2"", ""fpn_1"", ""fpn_0""]","{""fpn_0"": [256, 288, 288], ""fpn_1"": [256, 144, 144], ""fpn_2"": [256, 72, 72]}","{""fpn_0"": [256, 72, 72]}",72,72,64,32,False,[0.0],"{""fpn_0"": 1.0}",fpn_0=1.000,deterministic_kmeans,cosine,2,outputs/rwtd_sam3_auto/coarse_vs_fine_sam_scales/stage2/train_fpn_0_only_test/checkpoint.pt,permutation_invariant_binary_partition,architexture_binary_v1,0.8026216961496611,0.6879446110967604
fpn_0_only,test,1,101,"cluster_0->texture_a,cluster_1->texture_b",0.8359524946545536,0.6772862508486824,0.04629773570923313,0.6772862508486824,"[""fpn_0""]",fpn_2,"[""fpn_2"", ""fpn_1"", ""fpn_0""]","{""fpn_0"": [256, 288, 288], ""fpn_1"": [256, 144, 144], ""fpn_2"": [256, 72, 72]}","{""fpn_0"": [256, 72, 72]}",72,72,64,32,False,[0.0],"{""fpn_0"": 1.0}",fpn_0=1.000,deterministic_kmeans,cosine,2,outputs/rwtd_sam3_auto/coarse_vs_fine_sam_scales/stage2/train_fpn_0_only_test/checkpoint.pt,permutation_invariant_binary_partition,architexture_binary_v1,0.8359524946545536,0.6772862508486824
fpn_0_only,test,2,102,"cluster_0->texture_a,cluster_1->texture_b",0.8413873461964706,0.6922852942478355,0.04376129101979956,0.6922852942478355,"[""fpn_0""]",fpn_2,"[""fpn_2"", ""fpn_1"", ""fpn_0""]","{""fpn_0"": [256, 288, 288], ""fpn_1"": [256, 144, 144], ""fpn_2"": [256, 72, 72]}","{""fpn_0"": [256, 72, 72]}",72,72,64,32,False,[0.0],"{""fpn_0"": 1.0}",fpn_0=1.000,deterministic_kmeans,cosine,2,outputs/rwtd_sam3_auto/coarse_vs_fine_sam_scales/stage2/train_fpn_0_only_test/checkpoint.pt,permutation_invariant_binary_partition,architexture_binary_v1,0.8413873461964706,0.6922852942478355
fpn_0_only,test,3,103,"cluster_1->texture_a,cluster_0->texture_b",0.1273904616487565,0.2510551651003972,0.5902828639747613,0.2510551651003972,"[""fpn_0""]",fpn_2,"[""fpn_2"", ""fpn_1"", ""fpn_0""]","{""fpn_0"": [256, 288, 288], ""fpn_1"": [256, 144, 144], ""fpn_2"": [256, 72, 72]}","{""fpn_0"": [256, 72, 72]}",72,72,64,32,False,[0.0],"{""fpn_0"": 1.0}",fpn_0=1.000,deterministic_kmeans,cosine,2,outputs/rwtd_sam3_auto/coarse_vs_fine_sam_scales/stage2/train_fpn_0_only_test/checkpoint.pt,permutation_invariant_binary_partition,architexture_binary_v1,0.5902828639747613,0.2510551651003972
fpn_0_only,test,4,104,"cluster_1->texture_a,cluster_0->texture_b",0.09004044021263682,0.16116591062112176,0.4794026925086028,0.16116591062112176,"[""fpn_0""]",fpn_2,"[""fpn_2"", ""fpn_1"", ""fpn_0""]","{""fpn_0"": [256, 288, 288], ""fpn_1"": [256, 144, 144], ""fpn_2"": [256, 72, 72]}","{""fpn_0"": [256, 72, 72]}",72,72,64,32,False,[0.0],"{""fpn_0"": 1.0}",fpn_0=1.000,deterministic_kmeans,cosine,2,outputs/rwtd_sam3_auto/coarse_vs_fine_sam_scales/stage2/train_fpn_0_only_test/checkpoint.pt,permutation_invariant_binary_partition,architexture_binary_v1,0.4794026925086028,0.16116591062112176
fpn_0_only,test,5,106,"cluster_1->texture_a,cluster_0->texture_b",0.2788014735369628,-0.06567795814602559,0.28133430970176593,-0.06567795814602559,"[""fpn_0""]",fpn_2,"[""fpn_2"", ""fpn_1"", ""fpn_0""]","{""fpn_0"": [256, 288, 288], ""fpn_1"": [256, 144, 144], ""fpn_2"": [256, 72, 72]}","{""fpn_0"": [256, 72, 72]}",72,72,64,32,False,[0.0],"{""fpn_0"": 1.0}",fpn_0=1.000,deterministic_kmeans,cosine,2,outputs/rwtd_sam3_auto/coarse_vs_fine_sam_scales/stage2/train_fpn_0_only_test/checkpoint.pt,permutation_invariant_binary_partition,architexture_binary_v1,0.28133430970176593,-0.06567795814602559
fpn_0_only,test,6,12,"cluster_0->texture_a,cluster_1->texture_b",0.4447441439313765,0.053554146486168325,0.2366884989100731,0.053554146486168325,"[""fpn_0""]",fpn_2,"[""fpn_2"", ""fpn_1"", ""fpn_0""]","{""fpn_0"": [256, 288, 288], ""fpn_1"": [256, 144, 144], ""fpn_2"": [256, 72, 72]}","{""fpn_0"": [256, 72, 72]}",72,72,64,32,False,[0.0],"{""fpn_0"": 1.0}",fpn_0=1.000,deterministic_kmeans,cosine,2,outputs/rwtd_sam3_auto/coarse_vs_fine_sam_scales/stage2/train_fpn_0_only_test/checkpoint.pt,permutation_invariant_binary_partition,architexture_binary_v1,0.4447441439313765,0.053554146486168325
fpn_0_only,test,7,121,"cluster_0->texture_a,cluster_1->texture_b",0.8671703846116077,0.7452406650887592,0.03526528316048934,0.7452406650887592,"[""fpn_0""]",fpn_2,"[""fpn_2"", ""fpn_1"", ""fpn_0""]","{""fpn_0"": [256, 288, 288], ""fpn_1"": [256, 144, 144], ""fpn_2"": [256, 72, 72]}","{""fpn_0"": [256, 72, 72]}",72,72,64,32,False,[0.0],"{""fpn_0"": 1.0}",fpn_0=1.000,deterministic_kmeans,cosine,2,outputs/rwtd_sam3_auto/coarse_vs_fine_sam_scales/stage2/train_fpn_0_only_test/checkpoint.pt,permutation_invariant_binary_partition,architexture_binary_v1,0.8671703846116077,0.7452406650887592
fpn_0_only,test,8,122,"cluster_0->texture_a,cluster_1->texture_b",0.8884149906298322,0.7778464230818187,0.029891038602554484,0.7778464230818187,"[""fpn_0""]",fpn_2,"[""fpn_2"", ""fpn_1"", ""fpn_0""]","{""fpn_0"": [256, 288, 288], ""fpn_1"": [256, 144, 144], ""fpn_2"": [256, 72, 72]}","{""fpn_0"": [256, 72, 72]}",72,72,64,32,False,[0.0],"{""fpn_0"": 1.0}",fpn_0=1.000,deterministic_kmeans,cosine,2,outputs/rwtd_sam3_auto/coarse_vs_fine_sam_scales/stage2/train_fpn_0_only_test/checkpoint.pt,permutation_invariant_binary_partition,architexture_binary_v1,0.8884149906298322,0.7778464230818187
fpn_0_only,test,9,125,"cluster_0->texture_a,cluster_1->texture_b",0.9368531387707999,0.8887955901212469,0.01417668544893234,0.8887955901212469,"[""fpn_0""]",fpn_2,"[""fpn_2"", ""fpn_1"", ""fpn_0""]","{""fpn_0"": [256, 288, 288], ""fpn_1"": [256, 144, 144], ""fpn_2"": [256, 72, 72]}","{""fpn_0"": [256, 72, 72]}",72,72,64,32,False,[0.0],"{""fpn_0"": 1.0}",fpn_0=1.000,deterministic_kmeans,cosine,2,outputs/rwtd_sam3_auto/coarse_vs_fine_sam_scales/stage2/train_fpn_0_only_test/checkpoint.pt,permutation_invariant_binary_partition,architexture_binary_v1,0.9368531387707999,0.8887955901212469
