variant,split,sample_index,crop_name,assignment_used,direct_eval_miou,direct_eval_ari,swapped_eval_miou,swapped_eval_ari,selected_level_names_json,coarsest_level_name,raw_level_names_json,raw_level_shapes_json,aligned_level_shapes_json,coarsest_grid_height,coarsest_grid_width,probe_projection_dim,probe_embedding_dim,learnable_gates,gate_logits_json,gate_weights_json,final_gate_weights_compact,kmeans_backend,kmeans_metric,kmeans_num_clusters,checkpoint_path,evaluation_view,evaluation_contract,eval_miou,eval_ari
fpn_0_only,test,0,1,"cluster_1->texture_a,cluster_0->texture_b",0.05550234668618127,0.5715494988785795,0.737466642074833,0.5715494988785795,"[""fpn_0""]",fpn_0,"[""fpn_2"", ""fpn_1"", ""fpn_0""]","{""fpn_0"": [256, 288, 288], ""fpn_1"": [256, 144, 144], ""fpn_2"": [256, 72, 72]}","{""fpn_0"": [256, 288, 288]}",288,288,64,32,False,[0.0],"{""fpn_0"": 1.0}",fpn_0=1.000,deterministic_kmeans,cosine,2,outputs/rwtd_sam3_auto/coarse_vs_fine_sam_scales/stage2/smoke_train_fpn_0_only_native/checkpoint.pt,permutation_invariant_binary_partition,architexture_binary_v1,0.737466642074833,0.5715494988785795
fpn_0_only,test,1,101,"cluster_0->texture_a,cluster_1->texture_b",0.8054263888496744,0.6175964640686045,0.05646474753069051,0.6175964640686045,"[""fpn_0""]",fpn_0,"[""fpn_2"", ""fpn_1"", ""fpn_0""]","{""fpn_0"": [256, 288, 288], ""fpn_1"": [256, 144, 144], ""fpn_2"": [256, 72, 72]}","{""fpn_0"": [256, 288, 288]}",288,288,64,32,False,[0.0],"{""fpn_0"": 1.0}",fpn_0=1.000,deterministic_kmeans,cosine,2,outputs/rwtd_sam3_auto/coarse_vs_fine_sam_scales/stage2/smoke_train_fpn_0_only_native/checkpoint.pt,permutation_invariant_binary_partition,architexture_binary_v1,0.8054263888496744,0.6175964640686045
fpn_0_only,test,2,102,"cluster_0->texture_a,cluster_1->texture_b",0.7640452896218528,0.5499888248037434,0.06840588338685401,0.5499888248037434,"[""fpn_0""]",fpn_0,"[""fpn_2"", ""fpn_1"", ""fpn_0""]","{""fpn_0"": [256, 288, 288], ""fpn_1"": [256, 144, 144], ""fpn_2"": [256, 72, 72]}","{""fpn_0"": [256, 288, 288]}",288,288,64,32,False,[0.0],"{""fpn_0"": 1.0}",fpn_0=1.000,deterministic_kmeans,cosine,2,outputs/rwtd_sam3_auto/coarse_vs_fine_sam_scales/stage2/smoke_train_fpn_0_only_native/checkpoint.pt,permutation_invariant_binary_partition,architexture_binary_v1,0.7640452896218528,0.5499888248037434
fpn_0_only,test,3,103,"cluster_1->texture_a,cluster_0->texture_b",0.15799379552743936,0.14441019364151667,0.5233368436119636,0.14441019364151667,"[""fpn_0""]",fpn_0,"[""fpn_2"", ""fpn_1"", ""fpn_0""]","{""fpn_0"": [256, 288, 288], ""fpn_1"": [256, 144, 144], ""fpn_2"": [256, 72, 72]}","{""fpn_0"": [256, 288, 288]}",288,288,64,32,False,[0.0],"{""fpn_0"": 1.0}",fpn_0=1.000,deterministic_kmeans,cosine,2,outputs/rwtd_sam3_auto/coarse_vs_fine_sam_scales/stage2/smoke_train_fpn_0_only_native/checkpoint.pt,permutation_invariant_binary_partition,architexture_binary_v1,0.5233368436119636,0.14441019364151667
fpn_0_only,test,4,104,"cluster_0->texture_a,cluster_1->texture_b",0.40124459593314066,0.07308415800388238,0.14247926563562086,0.07308415800388238,"[""fpn_0""]",fpn_0,"[""fpn_2"", ""fpn_1"", ""fpn_0""]","{""fpn_0"": [256, 288, 288], ""fpn_1"": [256, 144, 144], ""fpn_2"": [256, 72, 72]}","{""fpn_0"": [256, 288, 288]}",288,288,64,32,False,[0.0],"{""fpn_0"": 1.0}",fpn_0=1.000,deterministic_kmeans,cosine,2,outputs/rwtd_sam3_auto/coarse_vs_fine_sam_scales/stage2/smoke_train_fpn_0_only_native/checkpoint.pt,permutation_invariant_binary_partition,architexture_binary_v1,0.40124459593314066,0.07308415800388238
fpn_0_only,test,5,106,"cluster_1->texture_a,cluster_0->texture_b",0.2715425276218326,-0.03237438659498429,0.30128337851974385,-0.03237438659498429,"[""fpn_0""]",fpn_0,"[""fpn_2"", ""fpn_1"", ""fpn_0""]","{""fpn_0"": [256, 288, 288], ""fpn_1"": [256, 144, 144], ""fpn_2"": [256, 72, 72]}","{""fpn_0"": [256, 288, 288]}",288,288,64,32,False,[0.0],"{""fpn_0"": 1.0}",fpn_0=1.000,deterministic_kmeans,cosine,2,outputs/rwtd_sam3_auto/coarse_vs_fine_sam_scales/stage2/smoke_train_fpn_0_only_native/checkpoint.pt,permutation_invariant_binary_partition,architexture_binary_v1,0.30128337851974385,-0.03237438659498429
fpn_0_only,test,6,12,"cluster_0->texture_a,cluster_1->texture_b",0.33376658824991196,-8.854749046154409e-05,0.3243581181670382,-8.854749046154409e-05,"[""fpn_0""]",fpn_0,"[""fpn_2"", ""fpn_1"", ""fpn_0""]","{""fpn_0"": [256, 288, 288], ""fpn_1"": [256, 144, 144], ""fpn_2"": [256, 72, 72]}","{""fpn_0"": [256, 288, 288]}",288,288,64,32,False,[0.0],"{""fpn_0"": 1.0}",fpn_0=1.000,deterministic_kmeans,cosine,2,outputs/rwtd_sam3_auto/coarse_vs_fine_sam_scales/stage2/smoke_train_fpn_0_only_native/checkpoint.pt,permutation_invariant_binary_partition,architexture_binary_v1,0.33376658824991196,-8.854749046154409e-05
fpn_0_only,test,7,121,"cluster_0->texture_a,cluster_1->texture_b",0.8637566271008852,0.7393677595640307,0.036203979403490134,0.7393677595640307,"[""fpn_0""]",fpn_0,"[""fpn_2"", ""fpn_1"", ""fpn_0""]","{""fpn_0"": [256, 288, 288], ""fpn_1"": [256, 144, 144], ""fpn_2"": [256, 72, 72]}","{""fpn_0"": [256, 288, 288]}",288,288,64,32,False,[0.0],"{""fpn_0"": 1.0}",fpn_0=1.000,deterministic_kmeans,cosine,2,outputs/rwtd_sam3_auto/coarse_vs_fine_sam_scales/stage2/smoke_train_fpn_0_only_native/checkpoint.pt,permutation_invariant_binary_partition,architexture_binary_v1,0.8637566271008852,0.7393677595640307
fpn_0_only,test,8,122,"cluster_0->texture_a,cluster_1->texture_b",0.882491682232948,0.7659418667151018,0.032050186891483756,0.7659418667151018,"[""fpn_0""]",fpn_0,"[""fpn_2"", ""fpn_1"", ""fpn_0""]","{""fpn_0"": [256, 288, 288], ""fpn_1"": [256, 144, 144], ""fpn_2"": [256, 72, 72]}","{""fpn_0"": [256, 288, 288]}",288,288,64,32,False,[0.0],"{""fpn_0"": 1.0}",fpn_0=1.000,deterministic_kmeans,cosine,2,outputs/rwtd_sam3_auto/coarse_vs_fine_sam_scales/stage2/smoke_train_fpn_0_only_native/checkpoint.pt,permutation_invariant_binary_partition,architexture_binary_v1,0.882491682232948,0.7659418667151018
fpn_0_only,test,9,125,"cluster_0->texture_a,cluster_1->texture_b",0.9310303797460278,0.8782526834336708,0.015583675995748766,0.8782526834336708,"[""fpn_0""]",fpn_0,"[""fpn_2"", ""fpn_1"", ""fpn_0""]","{""fpn_0"": [256, 288, 288], ""fpn_1"": [256, 144, 144], ""fpn_2"": [256, 72, 72]}","{""fpn_0"": [256, 288, 288]}",288,288,64,32,False,[0.0],"{""fpn_0"": 1.0}",fpn_0=1.000,deterministic_kmeans,cosine,2,outputs/rwtd_sam3_auto/coarse_vs_fine_sam_scales/stage2/smoke_train_fpn_0_only_native/checkpoint.pt,permutation_invariant_binary_partition,architexture_binary_v1,0.9310303797460278,0.8782526834336708
